"Order","Active","Text Above Question","Question Title","Activity","Type","Dropdown/Checkbox options","Show in Final Questions Section","Answer Required?"
"110","True","","Final thoughts and reflections:","Weekly Planner","Paragraph Text","","Yes","No"
"107","True","<hr /><p><br /></p>","Please help us by rating this activity below:","Weekly Planner","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"106","True","","Is there an area you’d like to allocate more time to?","Weekly Planner","Short Text","","Yes","No"
"105","True","","Have you got enough time for rest/sleep/friends etc.?","Weekly Planner","Short Text","","Yes","No"
"104","True","","If you had to pick one thing you were ‘doing too much of’, what would it be?","Weekly Planner","Short Text","","Yes","No"
"103","True","","If you could remove one thing (except ‘school’!), what would it be and why?","Weekly Planner","Paragraph Text","","Yes","No"
"102","True","","If you had more time, what would you add?","Weekly Planner","Short Text","","Yes","No"
"101","True","","How much of your time is spent doing things you want to do?","Weekly Planner","Short Text","","Yes","No"
"100","True","","How much of your time is spent doing things you have to do?","Weekly Planner","Short Text","","Yes","No"
"30","True","","Advantages if I don't make any changes?","Weekly Planner","Paragraph Text","","No","No"
"29","True","","Disadvantages if I don't make any changes?","Weekly Planner","Paragraph Text","","No","No"
"28","True","","Disadvantages of making changes?","Weekly Planner","Paragraph Text","","No","No"
"27","True","","Advantages of making these changes?","Weekly Planner","Paragraph Text","","No","No"
"26","True","<hr style=""height:2px;background-color:green;border:none;"" />
<hr />
<h5 style=""text-align:center;color:green;"">🗓️ <strong><em>Preferred Timetable </em></strong>🗓️</h5>
<hr />
<p>The next step is to decide:
</p>
<ul>
	<li><strong><em>Are you happy with your week? </em></strong></li>
	<li><strong><em>Are there things you’d like to change? </em></strong></li>
	<li><strong><em>Are there any days when you are overwhelmed?</em></strong></li>
</ul>
<p>If there are things you would like to change, you need to plan out your preferred week, then complete the boxes below. This will help you to think through the advantages and disadvantages of making the changes. If
the positives outweigh the negatives, you know what needs to be done!
</p>","What could I change about my current timetable?","Weekly Planner","Paragraph Text","","No","No"
"23","True","","Evening (7pm-11pm):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"22","True","","Afternoon (3-6pm)","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"21","True","","Morning / Early Afternoon (9am - 3pm)","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"20","True","<hr style=""height:2px;background-color:green;border:none;"" /><p style=""text-align:center;""><strong>SUNDAY</strong>
</p>","Early Morning (6-8.30am):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"19","True","","Evening (7pm-11pm):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"18","True","","Afternoon (3-6pm)","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"17","True","","Morning / Early Afternoon (9am - 3pm)","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"16","True","<hr style=""height:2px;background-color:green;border:none;"" /><p style=""text-align:center;""><strong>SATURDAY</strong>
</p>","Early Morning (6-8.30am):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"15","True","","Evening (7pm-11pm):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"14","True","","After School (4pm-5.30pm):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"13","True","<hr style=""height:2px;background-color:green;border:none;"" /><p style=""text-align:center;""><strong>FRIDAY</strong>
</p>","Before School (6-8.30am):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"12","True","","Evening (7pm-11pm):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"11","True","","After School (4pm-5.30pm):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"10","True","<hr style=""height:2px;background-color:green;border:none;"" /><p style=""text-align:center;""><strong>THURSDAY</strong></p>","Before School (6-8.30am):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"9","True","","Evening (7pm-11pm):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"8","True","","After School (4pm-5.30pm):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"7","True","<hr style=""height:2px;background-color:green;border:none;"" /><p style=""text-align:center;""><strong>WEDNESDAY</strong>
</p>","Before School (6-8.30am):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"6","True","","Evening (7pm-11pm):","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"5","True","","After School (4pm-5.30pm)","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"4","True","<hr style=""height:2px;background-color:green;border:none;"" /><p style=""text-align:center;""><strong>TUESDAY</strong>
</p>","Before School (6-8.30am)","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"3","True","","Evening (7pm-11pm)","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"2","True","","After School (4pm-5.30pm)","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"1","True","<hr /><h5 style=""text-align:center;color:green;"">📅 <strong><em>Current Timetable </em></strong>📅</h5><hr /><hr style=""height:2px;background-color:green;border:none;"" /><p style=""text-align:center;""><strong>MONDAY</strong>
</p>","Before School (6-8.30am)","Weekly Planner","Dropdown","Currently Free,Paid Job,Volunteering,Sport / Training,School Work,Recreational Activity,Housework / Chores,Family Time,Travelling","No","No"
"16","True","","5.","Types of Attention","Short Text","","No","No"
"15","True","","4.","Types of Attention","Short Text","","No","No"
"14","True","","3.","Types of Attention","Short Text","","No","No"
"13","True","","2.","Types of Attention","Short Text","","No","No"
"12","True","<hr /><h5 style=""text-align:center;color:#aad950;"">🙄 3<strong><em>. Inactive Attention: </em></strong> 🙄
</h5><hr /><p>List all your tasks that could be completed with inactive attention
</p>","1.","Types of Attention","Short Text","","No","No"
"11","True","","5.","Types of Attention","Short Text","","No","No"
"10","True","","4.","Types of Attention","Short Text","","No","No"
"9","True","","3.","Types of Attention","Short Text","","No","No"
"8","True","","2.","Types of Attention","Short Text","","No","No"
"7","True","<hr /><h5 style=""text-align:center;color:#aad950;"">😀<strong><em>2. Active Attention: </em></strong>😀
</h5><hr /><p>List all your tasks that will require active attention
</p>","1.","Types of Attention","Short Text","","No","No"
"6","True","","5.","Types of Attention","Short Text","","No","No"
"5","True","","4.","Types of Attention","Short Text","","No","No"
"4","True","","3.","Types of Attention","Short Text","","No","No"
"3","True","","2.","Types of Attention","Short Text","","No","No"
"2","True","<hr />
<h5><strong><em>Now categorise them. </em></strong>
</h5>
<p>Complex and challenging tasks go in <strong><em>‘proactive attention’.</em></strong> When you feel fully focused,
fred up and fresh, you tackle those. Regular tasks go in
	<em><strong> ‘active attention’.</strong></em> They’re tasks to get on with when
you feel you’re ticking along nicely. Repetitive tasks that are pretty easy go in 
	<strong><em>‘inactive attention’.</em></strong> When you’re
feeling fried or foggy, you switch to those tasks.
</p>
<hr />
<h5 style=""text-align:center;color:#aad950;"">🧐<strong><em>1. Proactive Attention: </em></strong>🧐
</h5>
<hr />
<p>List all your tasks that will require proactive attention
</p>","1.","Types of Attention","Short Text","","No","No"
"1","True","","My to do list:","Types of Attention","Paragraph Text","","No","No"
"111","True","","Final thoughts and reflections:","Types of Attention","Paragraph Text","","Yes","No"
"110","True","<hr /><p><br /></p>","Please help us by rating this activity below:","Types of Attention","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"100","True","","Use the space below to record your experiments and plans:","Types of Attention","Paragraph Text","","Yes","No"
"111","True","","Final thoughts and reflections:","The Bottom Left","Paragraph Text","","Yes","No"
"110","True","<hr />","Please help us by rating this activity below:","The Bottom Left","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"101","True","","Now you’ve potentially saved yourself some time, which task in the bottom left quadrant needs the most work?","The Bottom Left","Short Text","","Yes","No"
"100","True","","Note down your ideas below:","The Bottom Left","Paragraph Text","","Yes","No"
"16","True","","One task you could do that will push the dot further upwards.","The Bottom Left","Short Text","","No","No"
"15","True","","One task you could do that will push the dot further to the right.","The Bottom Left","Short Text","","No","No"
"14","True","<hr />","Sunject 4:","The Bottom Left","Short Text","","No","No"
"13","True","","One task you could do that will push the dot further upwards.","The Bottom Left","Short Text","","No","No"
"12","True","","One task you could do that will push the dot further to the right.","The Bottom Left","Short Text","","No","No"
"11","True","<hr />","Subject 3:","The Bottom Left","Short Text","","No","No"
"10","True","","One task you could do that will push the dot further upwards.","The Bottom Left","Short Text","","No","No"
"9","True","","One task you could do that will push the dot further to the right.","The Bottom Left","Short Text","","No","No"
"8","True","<hr />","Subject 2:","The Bottom Left","Short Text","","No","No"
"7","True","","One task you could do that will push the dot further upwards.","The Bottom Left","Short Text","","No","No"
"6","True","","One task you could do that will push the dot further to the right.","The Bottom Left","Short Text","","No","No"
"5","True","<hr style=""height:3px;background-color:black;border:none;"" /><h5><strong><em>The Terror of the Bottom Left!</em></strong>
</h5><p>Many pupils will subconsciously avoid the subjects in the bottom left because even the thought of them feels uncomfortable. They might lower the standards they expect of themselves in those subjects, work less hard at them or try to ignore them altogether. But they’re not going to go away. By spending some time on them now you could avoid a real crisis later on in the year.
</p><p>Let’s examine the subjects closest to – or in – the bottom left quadrant. We’ve given you enough space here to deal with up to four problem subjects!</p><p>It might be speaking to a teacher, borrowing some missing work, attending an after-school class, speaking to a pupil who’s better at it than you, finishing reading a textbook or re-doing a rushed piece of homework.</p><p>Consider the fourteen suggestions in our Looking Under the Rocks activity if you need some inspiration.<span></span></p><hr />","Subject 1:","The Bottom Left","Short Text","","No","No"
"4","True","<hr style=""height:3px;background-color:black;border:none;"" /><hr /><h5 style=""text-align:center;color:red;"">↙️ <strong><em>4. The Bottom Left: </em></strong>↙️</h5><hr /><p><img src=""https://www.vespa.academy/assets/MVIMAGES/bottomlft.gif"" />
</p><hr style=""height:5px;background-color:black;border:none;"" />","Which subjects would you place in the bottom left?","The Bottom Left","Paragraph Text","","No","No"
"3","True","<hr style=""height:5px;background-color:black;border:none;"" /><hr /><h5 style=""text-align:center;color:#f59642;"">↖️<strong><em>3. The Top Left: </em></strong>↖️<br /></h5><hr /><p><img src=""https://www.vespa.academy/assets/MVIMAGES/toplft.gif"" />
</p>","Which subjects would you place in the top left?","The Bottom Left","Paragraph Text","","No","No"
"2","True","<hr style=""height:3px;background-color:black;border:none;"" /><hr /><h5 style=""text-align:center;color:#42f59e;"">↘️ <strong><em>2. The Bottom Right: </em></strong>↘️</h5><hr /><p><img src=""https://www.vespa.academy/assets/MVIMAGES/btmrt.gif"" />
</p>","Which subjects would you place in the bottom right?","The Bottom Left","Paragraph Text","","No","No"
"1","True","<hr /><h5 style=""text-align:center;color:green;"">↗️<strong><em>1. The Top Right: </em></strong>↗️</h5><hr /><p><img src=""https://www.vespa.academy/assets/MVIMAGES/topright.gif"" />
</p>","Which subjects would you place in the top right?","The Bottom Left","Paragraph Text","","No","No"
"102","True","","Final thoughts and reflections:","Priority Matrix","Paragraph Text","","Yes","No"
"101","True","<hr />","Please help us by rating this activity below:","Priority Matrix","Dropdown","1(Not helpful / relevant),2,3,4,5 (Very helpful / relevant","Yes","No"
"100","True","<p><strong><em></em></strong><strong><em>Have you got a particular pattern of working? How might you improve it? </em></strong><span></span></p>","Use the space below to record your thoughts and plans:","Priority Matrix","Paragraph Text","","Yes","No"
"7","True","","Do a full, high-pressure 2 hour exam under timed conditions","Priority Matrix","Dropdown","Quick Win,Baby Step,Major Project,Hard Slog","No","No"
"6","True","<hr />","Resubmit that disastrous piece of work re-done, asking for it to be marked again","Priority Matrix","Dropdown","Quick Win,Baby Step,Major Project,Hard Slog","No","No"
"5","True","<hr />","Ask for a textbook recommendation - then read the opening chapter taking notes","Priority Matrix","Dropdown","Quick Win,Baby Step,Major Project,Hard Slog","No","No"
"4","True","<hr />","Do a one-hour re-organise of all my notes into topics","Priority Matrix","Dropdown","Quick Win,Baby Step,Major Project,Hard Slog","No","No"
"3","True","<hr />","Ask three questions of my teacher - noting down the answers","Priority Matrix","Dropdown","Quick Win,Baby Step,Major Project,Hard Slog","No","No"
"2","True","<hr />","Build a glossary of key terms with definitions","Priority Matrix","Dropdown","Quick Win,Baby Step,Major Project,Hard Slog","No","No"
"1","True","<p>Categorise each statement below into either a: </p><ul><li>Quick Win</li><li>Baby Step</li><li>Major Project </li><li>Hard Slog</li></ul>","Borrow a friend’s notes and review that entire topic","Priority Matrix","Dropdown","Quick Win,Baby Steps,Major Project,Hard Slog","No","No"
"102","True","","Final thoughts and reflections:","Chunking Steps","Paragraph Text","","Yes","No"
"101","True","<hr /><p><br /></p>","Please help us by rating this activity below:","Chunking Steps","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"100","True","","Who might be good at holding you accountable?","Chunking Steps","Short Text","","Yes","No"
"17","True","","Step 8 - Deadline:","Chunking Steps","Date","","No","No"
"16","True","<hr />","Step 8:","Chunking Steps","Short Text","","No","No"
"15","True","","Step 7 - Deadline:","Chunking Steps","Date","","No","No"
"15","True","<hr />","Step 7:","Chunking Steps","Short Text","","No","No"
"14","True","","Step 6 - Deadline:","Chunking Steps","Date","","No","No"
"13","True","<hr />","Step 6:","Chunking Steps","Short Text","","No","No"
"12","True","","Step 5 - Deadline:","Chunking Steps","Date","","No","No"
"11","True","<hr />","Step 5:","Chunking Steps","Short Text","","No","No"
"10","True","","Step 4 - Deadline:","Chunking Steps","Date","","No","No"
"9","True","<hr />","Step 4:","Chunking Steps","Short Text","","No","No"
"8","True","","Step 3 - Deadline:","Chunking Steps","Date","","No","No"
"7","True","<hr />","Step 3:","Chunking Steps","Short Text","","No","No"
"6","True","","Step 2 - Deadline:","Chunking Steps","Date","","No","No"
"5","True","<hr />","Step 2:","Chunking Steps","Short Text","","No","No"
"4","True","","Step 1 - Deadline:","Chunking Steps","Date","","No","No"
"3","True","<hr /><h4 style=""color:#aad950;text-align:center;""><strong><em>STEP 3 - Create the steps 🪜</em></strong></h4><hr /><p>Decide the order of activities using the diagram below, adding them to the steps. Don’t forget to include a deadline for each step.</p><p>The picture below shows a completed graphic, showing how a sports student approached their GCSE PE coursework. Notice the final step is shown at the top of the stairs, this is where you are aiming to get to.</p><p><img src=""https://www.vespa.academy/assets/MVIMAGES/chunk2.png"" /></p><p><strong><em>Image showing chunking steps example for GCSE PE coursework</em></strong></p>Use the boxes below to organise your notes from the previous task into clear steps towards your final goal.<hr /><p><br /></p>","Step 1:","Chunking Steps","Short Text","","No","No"
"2","True","<hr /><h4 style=""color:#aad950;text-align:center;""><strong><em>STEP 2 - Write everything down ✍🏾</em></strong></h4><hr /><p>Write down everything you will need to do to complete the task – everything you can think of from the start to the end. </p><p>Your ideas might come out in a crazy order – that’s fne! You can sort them out later.
</p>","What will it take to complete this task?","Chunking Steps","Paragraph Text","","No","No"
"1","True","<h4 style=""color:#aad950;text-align:center;""><strong><em>STEP 1 - Identify the goal 🥅</em></strong></h4><hr />","How will you know when the task is complete? What will it look like? When will it be?","Chunking Steps","Paragraph Text","","No","No"
"102","True","","Final thoughts and reflections:","Pre-Made Decisions","Paragraph Text","","Yes","No"
"101","True","<hr /><p><br /></p>","Please help us by rating this activity below:","Pre-Made Decisions","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"100","True","","Recalling a bad decision","Pre-Made Decisions","Paragraph Text","","Yes","No"
"17","True","","Pre-made decision:","Pre-Made Decisions","Paragraph Text","","No","No"
"16","True","<hr /><p><strong><em>Scenario 9 - Add you own Scenario and Pre Made Decision Below:</em></strong>
</p>","Scenario:","Pre-Made Decisions","Short Text","","No","No"
"15","True","","Pre-made decision:","Pre-Made Decisions","Paragraph Text","","No","No"
"14","True","<hr /><h4 style=""color:#a4c2f4;text-align:center;""><strong><em>My Unique Scenarios </em>🔑</strong></h4><hr /><p>You can even add situations that help you to pre-decide even more crucial decisions.
</p><p>Think about how you would like the best version of you to respond if, for example, someone offers you drugs or you see a group of people mistreating someone.
You might not always make decisions that fill you with pride, but pre-making good decisions does make them more likely to happen!
</p><hr /><p><strong><em>Scenario 8 - Add you own Scenario and Pre Made Decision Below:</em></strong>
</p>","Scenario:","Pre-Made Decisions","Short Text","","No","No"
"13","True","<hr /><p><strong><em>Scenario 7 - A close friend suggests grades aren’t that
important – that revision is boring and school is
worthless. They ask you to join them in quitting
study and deliberately failing all exams.
	</em></strong>
</p>","Pre-made decision:","Pre-Made Decisions","Paragraph Text","","No","No"
"12","True","<hr /><p><strong><em>Scenario 6 - A friend asks you to skip a class with them.
	</em></strong>
</p>","Pre-made decision:","Pre-Made Decisions","Paragraph Text","","No","No"
"11","True","<hr />
<p><strong><em>Scenario 5 - A fellow pupil asks you to cheat on a test.
	</em></strong>
</p>","Pre-made decision:","Pre-Made Decisions","Paragraph Text","","No","No"
"10","True","<hr /><p><strong><em>Scenario 5 - You have important tasks you want to get finished
but there is something great on TV/social media/ the internet.
	</em></strong>
</p>","Pre-made decision:","Pre-Made Decisions","Paragraph Text","","No","No"
"9","True","<hr /><p><strong><em>Scenario 4 - You’re planning on working but a friend tries to
persuade you not to.
	</em></strong>
</p>","Pre-made decision:","Pre-Made Decisions","Paragraph Text","","No","No"
"8","True","<hr />
<p><strong><em>Scenario 3 - It’s one week until an important test and you know
you’ve got a significant amount of revision to do.
	</em></strong>
</p>","Pre-made decision:","Pre-Made Decisions","Paragraph Text","","No","No"
"7","True","<hr /><p><strong><em>Scenario 2 - You set aside some time to catch up on some
crucial work but a friend arrives and wants to hang
out and chat.</em></strong>
</p>","Pre-made decision:","Pre-Made Decisions","Paragraph Text","","No","No"
"6","True","<hr /><h4 style=""color:#a4c2f4;text-align:center;""><strong><em>Pre-Made Decisions </em>🔑</strong></h4><hr /><p>The following pre-made decisions could be the key to your future success. The scenarios  we have added below are common and have probably happened to you. We have also added two blank boxes at the bottom to add your own scenario</p><hr /><p><strong><em>Scenario 1 - You plan on doing some important research but </em></strong><strong><em>your internet connection is down.</em></strong></p>","Pre-made decision","Pre-Made Decisions","Paragraph Text","","No","No"
"5","True","","What are your ""ideals"", that you want to base your decisions on? (e.g. Fairness, Freedom, Justice, Power, Wealth, etc)","Pre-Made Decisions","Paragraph Text","","No","No"
"4","True","","What do you want people to say about you?","Pre-Made Decisions","Paragraph Text","","No","No"
"3","True","","What is important to you?","Pre-Made Decisions","Paragraph Text","","No","No"
"2","True","","What qualities do you want to have?","Pre-Made Decisions","Paragraph Text","","No","No"
"1","True","<h4 style=""color:#a4c2f4;text-align:center;""><strong><em>The Future You... 🔮</em></strong></h4><hr />","What type of person do you want to be?","Pre-Made Decisions","Paragraph Text","","No","No"
"101","True","","Final thoughts and reflections:","Packing Bags","Paragraph Text","","Yes","No"
"100","True","<hr /><p><br /></p>","Please help us by rating this activity below:","Packing Bags","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"17","True","<hr /><h4 style=""color:#a4c2f4;text-align:center;""><strong><em>3. Departure Date🛫</em></strong></h4><hr /><p>Finally, you need to decide on a date to depart – that is, the date you’re leaving behind all the stuff you don’t want to be part of your school life (everything you put in the second box above).</p><p>Give yourself a few days. You’ll need to be mentally ready to count down to this date and look forward to it.
</p><p>A tip: we’ve found it’s good to make it a Thursday or Friday. It’ll be tiring being the new you. Start on a Monday and by Wednesday you’ll be exhausted! We’ve found that pupils have more success when they give themselves a day or two of their new self before a weekend comes along to save them ...</p>","Take off Date","Packing Bags","Date","","No","No"
"16","True","","Leave Behind","Packing Bags","Paragraph Text","","No","No"
"15","True","<hr /><h4 style=""color:#a4c2f4;text-align:center;""><strong><em>Packing your bags 🧳</em></strong></h4><hr /><p style=""text-align:center;""><strong><em>Now its time to pack your bags!</em></strong>
</p><p>The next step is to decide what you are happy with and what you aren’t happy with.Use the boxes below to decide what you need to improve (put those in the ""Pack"" section) and what you need to leave behind.
</p>","Pack to take","Packing Bags","Paragraph Text","","No","No"
"14","True","","Development Need?","Packing Bags","Dropdown","High,Medium,Low","No","No"
"13","True","<hr />","7. I do ten hours a week of independent study at home.","Packing Bags","Dropdown","Consistently,Sometimes,Rarely","No","No"
"12","True","","Development Need?","Packing Bags","Dropdown","High,Medium,Low","No","No"
"11","True","<hr />","6. I work hard at home.","Packing Bags","Dropdown","Consistently,Sometimes,Rarely","No","No"
"10","True","","Development Need?","Packing Bags","Dropdown","High,Medium,Low","No","No"
"9","True","<hr />","5. In most classes my main goal is to do the minimum needed so I don’t have to work very hard.","Packing Bags","Dropdown","Consistently,Sometimes,Rarely","No","No"
"8","True","","Development Need?","Packing Bags","Dropdown","High,Medium,Low","No","No"
"7","True","<hr />","4. I hand in extra exam work for marking.","Packing Bags","Dropdown","Consistently,Sometimes,Rarely","No","No"
"6","True","","Development Need?","Packing Bags","Dropdown","High,Medium,Low","No","No"
"5","True","<hr />","3. I do the minimum amount of work I can get away with.","Packing Bags","Dropdown","Consistently,Sometimes,Rarely","No","No"
"4","True","","Development Need?","Packing Bags","Dropdown","High,Medium,Low","No","No"
"3","True","<hr />","2. I leave things until the last minute.","Packing Bags","Dropdown","Consistently,Sometimes,Rarely","No","No"
"2","True","","Development Need?","Packing Bags","Dropdown","High,Medium,Low","No","No"
"1","True","<h4 style=""color:#a4c2f4;text-align:center;""><strong><em>1. Checklist Review✔️</em></strong></h4><hr /><p>Consider the following statments and select whether each is something you do:
</p><ul>
	<li><em><strong>Consistently</strong> (at least once per week)</em></li>
	<li><em><strong>Sometimes</strong> (At least every 3 weeks to a month)</em></li>
	<li><em><strong>Rarely</strong> (Once a term or never)</em></li>
</ul><em></em><p>Then decide wether how important each one is as a<strong><em> ""Development Need""</em></strong>, choosing either:
</p><ul>
	<li><em><b>High </b>(Something I really need to improve)</em></li>
	<li><em><b>Medium </b>(Something that would definatley help me if I improved, but not essential)</em></li>
	<li><em><b>Low </b>(Not currently something I need to improve)</em></li>
</ul><p><br />
</p><ul>
</ul>","1. I always hand my homework in on time.","Packing Bags","Dropdown","Consistently,Sometimes,Rarely","No","No"
"48","True","","Bonus Medal Time:","Mission & Medal","Dropdown","07:00-09:00,09:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00,21:00-23:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00","No","No"
"47","True","","Bonus Medal Day","Mission & Medal","Dropdown","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","No","No"
"43","True","","Other:","Mission & Medal","Short Text","","No","No"
"42","True","<hr /><h4 style=""color:#cca300;text-align:center;""><strong><em>🏅🏅🏅🏅🏅 BONUS MEDAL 2 🏅🏅🏅🏅🏅</em></strong></h4><hr />","Bonus Medal Type (2hr)","Mission & Medal","Dropdown","Time on games console, Netflix / TV, Social Media Time, Do something creative (music/art/design),Something nice to eat, Meet a friend,Listen to music,Other(add below)","No","No"
"41","True","","Bonus Medal Time","Mission & Medal","Dropdown","07:00-09:00,09:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00,21:00-23:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00","No","No"
"39","True","","Other:","Mission & Medal","Short Text","","No","No"
"40","True","","Bonus Medal Day","Mission & Medal","Dropdown","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","No","No"
"38","True","<hr /><h4 style=""color:#cca300;text-align:center;""><strong><em>🏅🏅🏅🏅🏅   BONUS MEDAL 1  🏅🏅🏅🏅🏅</em></strong></h4><hr />","Bonus Medal Type (2hr)","Mission & Medal","Dropdown","Time on games console, Netflix / TV, Social Media Time, Do something creative (music/art/design),Something nice to eat, Meet a friend,Listen to music,Other(add below)","No","No"
"37","True","","Medal Time:","Mission & Medal","Dropdown","07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00","No","No"
"36","True","","Other:","Mission & Medal","Short Text","","No","No"
"35","True","<hr /><h4 style=""color:#660066;text-align:center;""><strong><em>MEDAL 🏅</em></strong></h4><hr />","Medal Type:","Mission & Medal","Dropdown","Time on games console, Netflix / TV, Social Media Time, Do something creative (music/art/design),Something nice to eat, Meet a friend,Listen to music,Other(add below)","No","No"
"34","True","","Mission Time:","Mission & Medal","Dropdown","07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00","No","No"
"33","True","","Other:","Mission & Medal","Short Text","","No","No"
"32","True","<hr /><h4 style=""color:#660066;text-align:center;""><strong><em>MISSION 🚀</em></strong></h4><hr />","Mission Type:","Mission & Medal","Dropdown","Complete Homework,Plan ahead for a project/task,Consolidate learning,Organise notes,Research into Colleges or Apprenticeships,Research future careers,Fill out an application form, Work on my CV,Start a Revision Guide,Complete some online learning,Other (Add below)","No","No"
"31","True","<hr /><h2 style=""color:#660066;text-align:center;""><strong><em>DAY 5</em></strong></h2>","Select your fifth day:","Mission & Medal","Dropdown","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","No","No"
"30","True","","Medal Time:","Mission & Medal","Dropdown","07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00","No","No"
"29","True","","Other:","Mission & Medal","Short Text","","No","No"
"28","True","<hr /><h4 style=""color:#ff6600;text-align:center;""><strong><em>MEDAL 🏅</em></strong></h4><hr />","Medal Type:","Mission & Medal","Dropdown","Time on games console, Netflix / TV, Social Media Time, Do something creative (music/art/design),Something nice to eat, Meet a friend,Listen to music,Other(add below)","No","No"
